domain,is_dga
moviesand.com,0
thaicarp.com,0
lrvmnyqivfuhm.net,1
taxusuja.ru,1
sortirensemble.com,0
moqbatxa.ru,1
xkpelgou.cc,1
hepy.ro,0
isolon.kz,0
publicapis.com,0
mondomobile.net,0
bisupjux.ru,1
xvjhub.biz,1
skcuqokcokmsekga.org,1
kuiomosgkicqywec.org,1
jflvq.cc,1
gksdlyxwnyyr.com,1
pricelabs.ru,0
chartoasis.com,0
dirokici.ru,1
vipihokr.ru,1
yigujin.wang,0
mushtaqtahir.com,0
veacadoj.ru,1
wswumaiiwgwyueue.org,1
qgwamcggkgugcgiq.org,1
srryxijotgvd.com,1
qeasanli.ru,1
persongalize.com,0
hkmmqyhgnqps.com,1
jpjagatwxafdux.com,1
luxusola.ru,1
sangeethamshare.org,0
ywcsimwewwweyiae.org,1
gopcrutwvutg.com,1
xnvmanfmxctu.com,1
ftoipsrmsvypau.org,1
luckymanonline.com,0
qbojlxrdgyul.info,1
redmas.com,0
rcqes.cc,1
flacmania.info,0
151173.com,0
dekvtmjkdcmv.com,1
kysiseeaoksyguca.org,1
aacykcuckyaqkoyi.org,1
batimes.com,0
robokqup.ru,1
awbmidokh.cn,1
bifuxduh.ru,1
damlakaraman.com,0
sicotube.com,0
donuts.co,0
f24.com.br,0
pxqcjneg.info,1
qwgujbmw.com,1
chips-money.ru,0
gpphlejqvupy.com,1
gqaoqsyaoamgsuia.org,1
dustelbox.com,0
viplus.info,0
gmogwycceguwuqay.org,1
downdetector.com,0
cozycocoon.com,0
dxengineering.com,0
minhaserie.com.br,0
mysassissgmsquam.org,1
ocowuwysoqoiqwww.org,1
wozweixo.ru,1
picheali.ru,1
wozleike.ru,1
wh111.com,0
disksexo.info,0
henokuterkbw.com,1
discovering-distilleries.com,0
ciauucyyeqygguwa.org,1
ziekenhuisamstelland.nl,0
eaxbtbpa.org,1
xubyzu.ws,1
oyecric.com,0
najjeftinijegume.com,0
gocar.be,0
wejlpgwwxehf.net,1
icwcktsjjabawl.co.uk,1
fbctiectcjcp.com,1
nltweqh.cn,1
va-rep.org,0
qxckumpeg.cc,1
bdjkdeddyrym.com,1
hkrklgpqrsxk.com,1
yofywxev.com,1
howtoexcelatexcel.com,0
sougkssaeegwaisk.org,1
kkhfcdlcvjmq.com,1
qaxoqjic.ru,1
myocuaigowauemmq.org,1
plumbcenter.co.uk,0
keigatir.ru,1
osrblkhwngdg.com,1
hosafiln.ru,1
ggffneacioy.biz,1
eelwydfhyyeahv.biz,1
szjrfutq.ws,1
food.com,0
ydwtyuwiqchyjk.co.uk,1
iqimasaoaeiakaww.org,1
izouweaiy.org,1
oogshurbnoov.com,1
gminaradlow.com.pl,0
winqpjpqqfpq.org,1
wikiwebdir.co.uk,0
xwqujbrcjmdnvc.info,1
jmlijejriovp.com,1
yyurdcqjwsoku.info,1
qanvpalrojldco.info,1
hmwbjnqhctquid.com,1
osvebqenedys.com,1
zzjssvob.com,1
qvddubexkmrsx.biz,1
ernjncssddjk.com,1
androidhellas.com,0
honoceap.ru,1
yoursoftwareplace.com,0
scnmtchkkfnd.com,1
iqmkymeuyqesgouq.org,1
lmjeetkddnmdv.ru,1
ffbwpoxwpcdfj.com,1
the-daily.buzz,0
datapuntochaco.blogspot.com.ar,0
znjysp.cn,1
ptpjkcxwxbkr.com,1
yotcpmjvbihghjs.co.uk,1
uzmantedavi.net,0
kipuxwei.ru,1
skiktrgryemf.org,1
cpwar.cn,1
piratebay.com.co,0
jacksabby.com,0
ddebdcxwbypc.com,1
enablermail.com,0
fcbwojynmueb.com,1
kuaggwksswqumsmm.org,1
estegyqtn.cc,1
box.az,0
safelistxl.com,0
thepirata.net,0
pbybcpdlmdoan.org,1
jmdcdqnkmftwra.co.uk,1
taxiprono.ru,0
enchantingtravels.com,0
rhwlndygumgx.co.uk,1
tsplines.com,0
ptppghcorrco.com,1
vwmspxusoyesj.org,1
uberfactsposts.co,0
lkbedmlnudko.com,1
soowkiwuqgywowcy.org,1
